category,skill,chapter_number,chapter_title_candidate,difficulty_candidate,item_count_candidate,merge_status,ours_title,other_title,ours_count,other_count,validation_status,validation_note
Preflop,Preflop Hand Selection,1.0,Hand Strength Fundamentals,Beginner,7/7,match,Hand Strength Fundamentals,Hand Strength Fundamentals,7/7,7/7,unvalidated_or_prior,
Preflop,Preflop Hand Selection,2.0,Hand Categories and Their Value,Beginner,7/7,match,Hand Categories and Their Value,Hand Categories and Their Value,7/7,7/7,unvalidated_or_prior,
Preflop,Preflop Hand Selection,3.0,Position and Its Impact,Beginner,7/7,match,Position and Its Impact,Position and Its Impact,7/7,7/7,unvalidated_or_prior,
Preflop,Preflop Hand Selection,4.0,Reading Opening Range Charts,Beginner,11/11,match,Reading Opening Range Charts,Reading Opening Range Charts,11/11,11/11,unvalidated_or_prior,
Preflop,Preflop Hand Selection,5.0,Adjusting to Action Before You,Intermediate,7/7,match,Adjusting to Action Before You,Adjusting to Action Before You,7/7,7/7,unvalidated_or_prior,
Preflop,Preflop Hand Selection,6.0,3-Betting Fundamentals,Intermediate,8/8,match,3-Betting Fundamentals,3-Betting Fundamentals,8/8,8/8,unvalidated_or_prior,
Preflop,Preflop Hand Selection,7.0,Big Blind Defense,Intermediate,7/7,match,Big Blind Defense,Big Blind Defense,7/7,7/7,unvalidated_or_prior,
Preflop,Preflop Hand Selection,8.0,Combinatorics and Range Construction,Advanced,8/8,match,Combinatorics and Range Construction,Combinatorics and Range Construction,8/8,8/8,unvalidated_or_prior,
Preflop,Preflop Hand Selection,9.0,Stack Depth and SPR,Advanced,8/8,match,Stack Depth and SPR,Stack Depth and SPR,8/8,8/8,unvalidated_or_prior,
Preflop,Preflop Hand Selection,10.0,Multiway Equity Shifts,Advanced,7/7,match,Multiway Equity Shifts,Multiway Equity Shifts,7/7,7/7,unvalidated_or_prior,
Preflop,Preflop Hand Selection,11.0,Preflop Decisions in Session,Advanced,0/10 current progress; 10 items,count_filled_or_normalized_from_other,Preflop Decisions in Session,Preflop Decisions in Session,0/10 current progress; 10 items,0/10,unvalidated_or_prior,
Preflop,3-Betting,1.0,What Is a 3-Bet?,Beginner,0/8,match,What Is a 3-Bet?,What is a 3-Bet?,0/8,0/8,unvalidated_or_prior,
Preflop,3-Betting,2.0,Why 3-Bet?,Beginner,0/10,match,Why 3-Bet?,Why 3-Bet?,0/10,0/10,unvalidated_or_prior,
Preflop,3-Betting,3.0,Balance: Why You Can't Only 3-Bet Premiums,Beginner,0/11,match,Balance: Why You Can't Only 3-Bet Premiums,Balance: Why You Can't Only 3-Bet Premiums,0/11,0/11,unvalidated_or_prior,
Preflop,3-Betting,4.0,Linear vs Polarized Ranges,Intermediate,0/11,match,Linear vs Polarized Ranges,Linear vs Polarized Ranges,0/11,0/11,unvalidated_or_prior,
Preflop,3-Betting,5.0,Sizing Your 3-Bet,Intermediate,0/11,match,Sizing Your 3-Bet,Sizing Your 3-Bet,0/11,0/11,unvalidated_or_prior,
Preflop,3-Betting,6.0,Picking Bluffs: Blockers and Playability,Intermediate,0/12,match,Picking Bluffs: Blockers and Playability,Picking Bluffs: Blockers and Playability,0/12,0/12,unvalidated_or_prior,
Preflop,3-Betting,7.0,The Squeeze,Advanced,0/11,match,The Squeeze,The Squeeze,0/11,0/11,unvalidated_or_prior,
Preflop,3-Betting,8.0,Exploitative Adjustments,Advanced,0/14,match,Exploitative Adjustments,Exploitative Adjustments,0/14,0/14,unvalidated_or_prior,
Preflop,3-Betting,9.0,Combinatorics and Combo Selection,Advanced,0/11,match,Combinatorics and Combo Selection,Combinatorics and Combo Selection,0/11,0/11,unvalidated_or_prior,
