area,runout_evidence,sharky_current_truth,gap_type,severity,classification,recommendation,not_now_guardrail
First-week proof,"Candidate route: onboarding -> first session / skill library -> Preflop Hand Selection; runtime journey not confirmed","Accepted first-week packet shows placement/welcome/W1 decision/feedback/repair/review/profile proof","Sharky advantage",High,already_stronger_in_sharky,"Package Sharky's proof chain clearly for external review","Do not add Runout-style onboarding/paywall ceremony"
Curriculum breadth,"7 categories, 31 visible skills, 280 chapter rows in validated CSV","Active content worlds cover early table/action/position/bet/board/range/stack/tournament/player-adjustment slices","Runout breadth advantage",Medium,valuable_after_external_review,"Use as coverage benchmark after first-week proof is packaged","Do not turn Runout taxonomy into Sharky roadmap"
Preflop catalog,"Preflop category has 5 skills and 45 rows including 3-betting/facing 3-bet/blind defense","Sharky W1-W4 cover free foundation; W3 external content remains thinner than adjacent worlds","Depth gap",Medium,defer_until_learning_depth_phase,"Plan a focused preflop depth audit later","Do not reopen W4/W5 monetization boundary"
Board texture / W5,"Runout C-betting/facing c-bet/check-raise chapters reference board texture as part of broader postflop plan","Sharky W5 now has six board-texture classifier reps and W5 receipt mapping","Closed v1 gap",Medium,already_stronger_in_sharky,"Use W5 as proof of authored same-signal reinforcement","Do not expand W5 broadly in this wave"
Visual explainers,"Static report found lessons.visuals key families for blockers/ranges/bet sizing/c-betting/draw equity/SPR/street plans","Sharky proof packets use real-text surfaces and table-signal coaching; no broad visual explainer system yet","Presentation gap",Medium,valuable_after_external_review,"After proof packaging, audit which one visual explainer would strengthen first-week trust","Do not touch Modern Table or copy Runout visuals"
Feedback and why,"Runout has drill/review/mastery/recalibration strings; causal repair behavior not proven","Sharky has deterministic choice -> signal -> why -> repair/recheck proof","Sharky advantage",High,already_stronger_in_sharky,"Lead external review with deterministic causality, not breadth","Do not overclaim full queue resolution"
Repair/adaptive proof,"Adaptive/repair behavior not proven by static extraction","W5/W6 receipts, queue items, recheck launch, repair focus/result/session proof are source-backed","Sharky advantage",High,already_stronger_in_sharky,"Keep repair proof as the product wedge","Do not add AI/adaptive claims"
Paywall/commercial trust,"Runout has billing, RevenueCat, paywall strings/assets, subscription/trial surfaces","Sharky intentionally keeps value before paywall; W1-W4 free / W5+ future paid-depth remains locked","Packaging gap but trust advantage",Medium,valuable_after_external_review,"Use Runout as commercial-packaging benchmark after proof review","Do not start monetization/paywall now"
Progress/mastery theatre,"Runout has mastery/radar/ranks/tiers/reports/progress assets","Sharky has compact proof/profile surfaces without dashboard/XP economy","Positioning difference",Medium,do_not_copy,"Keep Sharky proof compact until learner value is visibly earned","Do not add dashboard/charts/XP/economy"
Beginner cognitive load,"Runout Preflop path reaches range charts, 3-betting, combinatorics, SPR, multiway shifts inside one skill","Sharky starts with table anchors/legal action/street flow and one real decision","Sharky advantage",Medium,already_stronger_in_sharky,"Preserve smaller first-session cognitive load","Do not front-load advanced taxonomy"
Term depth,"Runout includes SPR, blockers, pot odds, MDF, ICM, exploit across catalog","Sharky term scanner passes six priority terms; PFA/DB quarantined reference-only","Future depth gap",Medium,defer_until_learning_depth_phase,"Use Runout terms as audit checklist later","Do not add glossary/content now"
Runtime validation,"Runout map confidence is high for category/skill/chapter map but paywall/adaptive behavior need runtime validation","Sharky claims are source/test backed in repo","Research confidence gap",Medium,requires_runtime_validation,"Validate Runout runtime only if packaging/paywall research becomes active","Do not run APK extraction inside Sharky repo"
External review packet,"Runout has stronger perceived ecosystem breadth and commercial packaging","Sharky proof is ready but needs a clear external index of supported claims/forbidden overclaims","Packaging gap",High,small_first_week_gap,"Run First-Week Proof Packet External Review Packaging v1 next","Do not add product work before packaging"
